requirement_id,artifact_type,artifact_id,verification_method,test_id,status
SW-FR-RECIPE-003,component,RECIPE-ACTIONS,test,RECIPE-ACTION-001a,passing
SW-FR-RECIPE-006,component,RECIPE-LOADER,test,RECIPE-NO-TRANSITION-001,passing
SW-FR-RECIPE-007,component,RECIPE-IFACE-BINDING,test,RECIPE-IFACE-BINDING-001,passing
SW-FR-GOV-005,component,RECIPE-GOVERNOR-STUB,test,RECIPE-GOV-DENY-001f,passing
SW-FR-GOV-006,component,RECIPE-GOVERNOR-STUB,test,RECIPE-GOV-FAIL-CLOSED-001,passing
SYS-NF-001,component,RECIPE-DETERMINISM,test,RECIPE-DETERMINISM-001,passing
SYS-NF-002,component,RECIPE-NO-ALLOC,test,RECIPE-NO-ALLOC-001,passing
SW-FR-FSM-001,component,FSM-LOADER,test,FSM-LOAD-001,passing
SW-FR-FSM-002,component,FSM-COMPILE,test,FSM-LOAD-001,passing
SW-FR-FSM-003,component,FSM-SCHEMA-VALIDATION,test,FSM-LOAD-003,passing
SW-FR-FSM-005,component,FSM-INITIAL-STATE,test,FSM-LOAD-004,passing
SW-FR-FSM-006,component,FSM-STATE-NAMES,test,FSM-LOAD-004,passing
SW-FR-FSM-007,component,FSM-ENTRY-ACTIONS,test,FSM-LIFECYCLE-002,passing
SW-FR-FSM-008,component,FSM-EXIT-ACTIONS,test,FSM-PRECEDENCE-002,passing
SW-FR-FSM-009,component,FSM-FLAT-STATES,test,FSM-LOAD-003,passing
SW-FR-FSM-010,component,FSM-EVENT-TRANSITIONS,test,FSM-PRECEDENCE-001,passing
SW-FR-FSM-011,component,FSM-GUARDS,test,EXPR-NAMESPACE-001,passing
SW-FR-FSM-013,component,FSM-TRANSITION-ACTIONS,test,FSM-PRECEDENCE-002,passing
SW-FR-FSM-014,component,FSM-ACTION-ORDER,test,FSM-PRECEDENCE-002,passing
SW-FR-FSM-015,component,FSM-SELF-TRANSITION,test,FSM-PRECEDENCE-006,passing
SW-FR-FSM-016,component,FSM-CHAIN-DEPTH,test,FSM-PRECEDENCE-004,passing
SW-FR-FSM-017,component,FSM-EVENT-TYPES,test,FSM-LOAD-003,passing
SW-FR-FSM-018,component,FSM-EVENT-FIELDS,test,FSM-EVENT-ORDER-005,passing
SW-FR-FSM-019,component,FSM-INCOMING-QUEUE,test,FSM-QUEUE-001,passing
SW-FR-FSM-021,component,FSM-RECURSION-BOUND,test,FSM-QUEUE-003,passing
SW-FR-FSM-022,component,FSM-ACTION-KINDS,test,FSM-LOAD-001,passing
SW-FR-FSM-023,component,FSM-CAPABILITY-CHECK,test,FSM-CAPABILITY-002,passing
SW-FR-FSM-024,component,FSM-ACTION-FAILURE,test,FSM-CAPABILITY-007,passing
SW-FR-FSM-025,component,FSM-NO-HW-ACCESS,test,FSM-CAPABILITY-009,passing
SW-FR-FSM-026,component,FSM-ONESHOT-TIMERS,test,FSM-TIMER-001,passing
SW-FR-FSM-027,component,FSM-PERIODIC-TIMERS,test,FSM-TIMER-002,passing
SW-FR-FSM-028,component,FSM-TIMER-EVENTS,test,FSM-TIMER-001,passing
SW-FR-FSM-029,component,FSM-TIMER-CONTROL,test,FSM-TIMER-004,passing
SW-FR-FSM-031,component,FSM-VARIABLE-NAMES,test,FSM-LOAD-004,passing
SW-FR-FSM-032,component,FSM-VARIABLE-TYPES,test,FSM-LOAD-006,passing
SW-FR-FSM-033,component,FSM-VARIABLE-DEFAULTS,test,FSM-LIFECYCLE-001,passing
SW-FR-FSM-034,component,FSM-VARIABLE-SCOPE,test,FSM-LIFECYCLE-002,passing
SW-FR-FSM-036,component,FSM-EXPRESSION-OPERATORS,test,EXPR-FUNCTIONS-001,passing
SW-FR-FSM-037,component,FSM-EXPRESSION-SANDBOX,test,EXPR-NO-CODE-001,passing
SW-FR-FSM-038,component,FSM-EXPRESSION-FAULTS,test,EXPR-FAULTS-001,passing
SW-FR-FSM-039,component,FSM-CAPABILITY-ACTIONS,test,FSM-CAPABILITY-005,passing
SW-FR-FSM-042,component,FSM-GOVERNOR-CHECKPOINT,test,FSM-CAPABILITY-001,passing
SW-FR-FSM-043,component,FSM-SEQUENTIAL-INSTANCE,test,FSM-EVENT-ORDER-004,passing
SW-FR-FSM-044,component,FSM-PERIODIC-TICK,test,FSM-TIMER-001,passing
SW-FR-FSM-045,component,FSM-EXECUTION-BUDGET,test,FSM-PRECEDENCE-007,passing
SW-FR-FSM-046,component,FSM-DETERMINISM,test,FSM-EVENT-ORDER-006,passing
SW-FR-FSM-047,component,FSM-INSTANCE-ISOLATION,test,FSM-LIFECYCLE-005,passing
SW-FR-FSM-048,component,FSM-TRANSITION-TRACE,test,FSM-PRECEDENCE-002,passing
SW-FR-FSM-049,component,FSM-EVENT-TRACE,test,FSM-EVENT-ORDER-006,passing
SW-FR-FSM-050,component,FSM-COUNTERS,test,FSM-QUEUE-002,passing
SW-FR-FSM-051,component,FSM-HOST-RUNTIME,test,FSM-EVENT-ORDER-001,passing
SW-FR-FSM-052,component,FSM-TEST-HOOKS,test,FSM-LIFECYCLE-008,passing
SW-FR-FSM-053,component,FSM-GOLDEN-OUTPUT,test,FSM-EVENT-ORDER-006,passing
SW-FR-FSM-054,component,FSM-DEFERRED-TRANSITIONS,test,FSM-PRECEDENCE-003,passing
SW-FR-FSM-055,component,FSM-TRANSITION-FIRST-WINS,test,FSM-PRECEDENCE-005,passing
SW-FR-GOV-006,component,FSM-GOVERNOR-STUB,test,FSM-CAPABILITY-001,passing
SYS-NF-002,component,FSM-NO-ALLOC,test,FSM-NO-ALLOC-001,passing
SYS-NF-001,component,FSM-DETERMINISM,test,FSM-EVENT-ORDER-006,passing
SYS-FR-003,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SYS-FR-004,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SYS-FR-005,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SYS-FR-006,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SYS-FR-010,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SYS-FR-014,component,GATEWAY-DETERMINISM,test,GATEWAY-DETERMINISM-001,passing
SYS-FR-019,component,GATEWAY-TRACE,test,GATEWAY-TRACE-001,passing
SYS-NF-001,component,GATEWAY-DETERMINISM,test,GATEWAY-DETERMINISM-001,passing
SYS-NF-002,component,GATEWAY-NO-ALLOC,test,GATEWAY-NO-ALLOC-001,passing
SYS-NF-005,component,GATEWAY-COUNTERS,test,GATEWAY-COUNTERS-001,passing
SYS-NF-006,component,GATEWAY-HOST-BUILD,inspection,GATEWAY-HOST-001,passing
SYS-NF-007,component,GATEWAY-HOST-BUILD,inspection,GATEWAY-HOST-001,passing
SYS-SF-002,component,GATEWAY-FAILCLOSED,test,GATEWAY-FAILCLOSED-001,passing
SW-FR-CODEC-001,component,CODEC-DECODE,test,CODEC-DECODE-001,passing
SW-FR-CODEC-002,component,CODEC-ENCODE,test,CODEC-ENCODE-001,passing
SW-FR-EVENT-004,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SW-FR-EVENT-006,component,GATEWAY-LOOP,test,GATEWAY-LOOP-001,passing
SW-FR-RECIPE-001,component,RECIPE-EXEC,test,RECIPE-EXEC-001,passing
SW-FR-RECIPE-005,component,RECIPE-FILTER,test,RECIPE-FILTER-001c,passing
SW-FR-FSM-003,schema,schemas/fsm-0.3.0.schema.json,test,FSM-LOAD-003,passing
SW-FR-FSM-004,component,FSM-LIFECYCLE,test,FSM-LIFECYCLE-001,passing
SW-FR-FSM-024,component,GATEWAY-FAILCLOSED,test,GATEWAY-FAILCLOSED-001,passing
SW-FR-FSM-046,component,GATEWAY-DETERMINISM,test,GATEWAY-DETERMINISM-001,passing
SW-FR-FSM-053,component,GATEWAY-TRACE,test,GATEWAY-TRACE-001,passing
SW-FR-GOV-005,component,GATEWAY-FAILCLOSED,test,GATEWAY-FAILCLOSED-001,passing
SW-FR-GOV-006,component,GATEWAY-FAILCLOSED,test,GATEWAY-FAILCLOSED-001,passing
SW-FR-HAL-001,source,core/hal/include/cancestry/hal/types.h,inspection,HAL-TYPES-001,passing
SW-FR-HAL-002,source,core/hal/include/cancestry/hal/types.h,inspection,HAL-TYPES-001,passing
SW-FR-HAL-003,source,core/hal/src/hal.c,test,HAL-NONBLOCK-001,passing
SW-FR-HAL-004,source,core/hal/src/hal.c,test,HAL-TIMESTAMP-MONO-001,passing
SW-FR-HAL-005,source,core/hal/src/hal.c,test,HAL-BUS-ERROR-001,passing
SW-FR-HAL-006,source,core/hal/src/types.c,test,HAL-RING-BOUNDS-001,passing
SW-FR-HAL-007,source,core/hal/src/hal.c,test,HAL-BUS-ERROR-001,passing
SW-FR-HAL-008,source,platform/mock/mock_hal.c,test,HAL-RING-BOUNDS-001,passing
SW-FR-HAL-009,source,platform/mock/mock_hal.c,test,HAL-BUS-ERROR-001,passing
SW-FR-HAL-010,source,platform/linux/socketcan.c,inspection,HAL-REAL-LOOP-001,planned
SW-FR-HAL-011,source,core/hal/src/hal.c,test,HAL-RING-BOUNDS-001,passing
SW-FR-HAL-012,schema,schemas/hal-0.1.0.schema.json,inspection,SCHEMA-VALIDATION,passing
SYS-NF-002,source,core/hal,test,cancestry_hal_no_malloc_symbols,passing
SYS-NF-002,source,platform/mock,test,cancestry_platform_mock_no_malloc_symbols,passing
SYS-NF-002,source,platform/linux,test,cancestry_platform_linux_no_malloc_symbols,passing
SYS-NF-001,component,HAL-DETERMINISM,test,HAL-NONBLOCK-001,passing
SYS-SF-002,component,HAL-FAULT-EVENTS,test,HAL-BUS-ERROR-001,passing
SW-FR-CANFD-001,source,core/codec,test,CODEC-CANFD-BOUNDS-001,passing
SW-FR-CANFD-001,schema,schemas/codec-map-0.3.0.schema.json,inspection,SCHEMA-VALIDATION,passing
SW-FR-CANFD-002,source,core/event/src/types.c,test,CODEC-CANFD-BOUNDS-001,passing
SW-FR-CANFD-002,source,core/hal/src/types.c,test,HAL-CANFD-FALLBACK-001,passing
SW-FR-CANFD-003,source,core/hal/src/hal.c,test,HAL-CANFD-FALLBACK-001,passing
SW-FR-CANFD-003,source,platform/mock/mock_hal.c,test,HAL-CANFD-FALLBACK-001,passing
SW-FR-CANFD-004,source,core/codec/src/loader.c,test,CODEC-CANFD-SCHEMA-001,passing
SW-FR-CANFD-004,source,platform/linux/socketcan.c,inspection,HAL-REAL-CANFD-001,planned
SW-FR-CANFD-005,source,core/hal,test,cancestry_hal_no_malloc_symbols,passing
SW-FR-CANFD-005,source,platform/linux,test,cancestry_platform_linux_no_malloc_symbols,passing
SW-FR-CANFD-005,source,core/event,test,cancestry_event_no_malloc_symbols,passing
SW-FR-CANFD-006,source,core/recipe/src/engine.c,test,RECIPE-CANFD-EGRESS-001,passing
SW-FR-CANFD-006,source,core/fsm/src/engine.c,test,FSM-CANFD-EGRESS-001,passing
SW-FR-TOOL-001,tool,tools/yaml2c,test,YAML2C-FSM-001,passing
SW-FR-TOOL-001,tool,tools/yaml2c,test,YAML2C-CLI-001,passing
SW-FR-TOOL-002,tool,tools/yaml2c,test,YAML2C-CODEC-001,passing
SW-FR-TOOL-002,source,examples/gateway_real,test,cancestry_gateway_real_static_loop,passing
SW-FR-TOOL-003,tool,tools/yaml2c,test,YAML2C-NOALLOC-001,passing
SW-FR-TOOL-003,source,examples/gateway_real,test,cancestry_gateway_real_static_no_alloc_symbols,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-SCHEMA-001,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-REFUSE-001,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-REFUSE-009,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-CODEC-REFUSE-001,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-EXPR-001,passing
SW-FR-TOOL-004,tool,tools/yaml2c,test,YAML2C-UNIT-001,passing
SW-FR-TOOL-005,tool,tools/trace_viewer,test,TRACE-VIEW-WRAP-001,passing
SW-FR-TOOL-005,tool,tools/trace_viewer,test,TRACE-VIEW-FORMAT-001,passing
SW-FR-TOOL-006,tool,tools/trace_viewer,test,TRACE-VIEW-TIMELINE-001,passing
SW-FR-TOOL-006,tool,tools/trace_viewer,test,TRACE-VIEW-CLI-001,passing
SW-FR-TOOL-007,tool,tools/trace_viewer,test,TRACE-VIEW-DOT-001,passing
SW-FR-TOOL-008,ci,ci/check_schemas_valid.py,test,SCHEMA-LOGIC-001,passing
SW-FR-TOOL-008,ci,ci/check_schemas_valid.py,test,SCHEMA-LOGIC-002,passing
SW-FR-TOOL-008,ci,ci/check_schemas_valid.py,test,SCHEMA-LOGIC-003,passing
SW-FR-TOOL-008,ci,ci/check_schemas_valid.py,test,SCHEMA-LOGIC-004,passing
SW-FR-TOOL-009,tool,tools/trace_viewer,test,TRACE-VIEW-WRAP-001,passing
SW-FR-TOOL-010,tool,tools/yaml2c,test,YAML2C-CLI-001,passing
SW-FR-TOOL-010,tool,tools/trace_viewer,test,TRACE-VIEW-CLI-001,passing
SW-FR-TP-001,source,core/transport,test,TP-RX-002,passing
SW-FR-TP-001,source,core/transport,test,cancestry_transport_no_malloc_symbols,passing
SW-FR-TP-002,source,core/transport,test,TP-RX-001,passing
SW-FR-TP-002,source,core/transport,test,TP-RX-002,passing
SW-FR-TP-002,source,core/transport,test,TP-TX-005,passing
SW-FR-TP-003,source,core/transport,test,TP-RX-005,passing
SW-FR-TP-003,source,core/transport,test,TP-TX-005,passing
SW-FR-TP-004,source,core/transport,test,TP-RX-003,passing
SW-FR-TP-005,source,core/transport,test,TP-RX-006,passing
SW-FR-TP-005,source,core/transport,test,TP-TX-008,passing
SW-FR-TP-006,source,core/transport,test,TP-RX-004,passing
SW-FR-TP-006,source,core/transport,test,TP-TX-006,passing
SW-FR-TP-006,source,core/transport,test,TP-TX-007,passing
SW-FR-TP-007,source,core/transport,test,TP-TX-001,passing
SW-FR-TP-007,source,core/transport,test,TP-TX-002,passing
SW-FR-TP-007,source,core/transport,test,TP-TX-009,passing
SW-FR-TP-008,source,core/transport,test,TP-TX-003,passing
SW-FR-TP-008,source,core/transport,test,TP-TX-004,passing
SW-FR-TP-008,source,core/transport,test,TP-TX-005,passing
SW-FR-TP-009,source,core/transport,test,TP-RX-002,passing
SW-FR-TP-009,source,core/transport,test,TP-TX-007,passing
SW-FR-TP-010,source,core/transport,test,TP-RX-007,passing
SW-FR-UDS-001,source,core/uds,test,UDS-SVC-001,passing
SW-FR-UDS-001,source,core/uds,test,UDS-GOV-005,passing
SW-FR-UDS-002,source,core/uds,test,UDS-SVC-001,passing
SW-FR-UDS-002,source,core/uds,test,UDS-SVC-002,passing
SW-FR-UDS-003,source,core/uds,test,UDS-SVC-003,passing
SW-FR-UDS-004,source,core/uds,test,UDS-SVC-004,passing
SW-FR-UDS-005,source,core/uds,test,UDS-SVC-005,passing
SW-FR-UDS-006,source,core/uds/loader,test,UDS-SVC-006,passing
SW-FR-UDS-006,schema,schemas/uds-0.1.0.schema.json,test,UDS-SVC-006,passing
SW-FR-UDS-007,source,core/uds,test,UDS-GOV-001,passing
SW-FR-UDS-007,source,core/uds,test,UDS-GOV-002,passing
SW-FR-UDS-007,source,core/uds,test,UDS-GOV-003,passing
SW-FR-UDS-007,source,core/uds,test,UDS-GOV-004,passing
SW-FR-UDS-008,source,core/uds,test,UDS-SVC-002,passing
SW-FR-UDS-008,source,core/uds,test,UDS-SVC-003,passing
SW-FR-UDS-008,source,core/uds,test,UDS-GOV-002,passing
SW-FR-UDS-001,source,core/uds,test,cancestry_uds_no_malloc_symbols,passing
SW-FR-BM-001,source,platform/cortex_m,test,BM-ALLOC-001,passing
SW-FR-BM-001,source,platform/cortex_m,test,cancestry_platform_cortex_m_no_malloc_symbols,passing
SW-FR-BM-002,source,platform/cortex_m,test,BM-LAT-001,passing
SW-FR-BM-002,source,platform/cortex_m,test,BM-LAT-002,passing
SW-FR-BM-003,source,platform/cortex_m,test,BM-LAT-001,passing
SW-FR-BM-003,source,platform/cortex_m,test,BM-LAT-004,passing
SW-FR-BM-004,source,platform/cortex_m,test,BM-LAT-003,passing
SW-FR-BM-005,source,platform/cortex_m,test,BM-SAFE-001,passing
SW-FR-BM-005,source,platform/cortex_m,test,BM-SAFE-002,passing
SW-FR-BM-006,source,platform/cortex_m,test,BM-SAFE-002,passing
SW-FR-BM-006,source,platform/cortex_m,test,BM-SAFE-003,passing
SW-FR-BM-006,source,platform/cortex_m,test,BM-SAFE-004,passing
SW-FR-BM-007,source,platform/cortex_m,test,BM-LAT-001,passing
SW-FR-BM-007,source,platform/cortex_m,test,BM-LAT-002,passing
SW-FR-BM-008,source,platform/cortex_m,test,BM-ALLOC-001,passing
SW-FR-BMS-001,source,core/governor/bms_governor.c,test,BMS-GOV-006,passing
SW-FR-BMS-002,source,core/governor/bms_governor.c,test,BMS-GOV-001,passing
SW-FR-BMS-002,test,tests/conformance/governor/test_bms_governor.c,test,BMS-GOV-005,passing
SW-FR-BMS-003,source,core/governor/bms_governor.c,test,BMS-GOV-005,passing
SW-FR-BMS-004,source,core/governor/bms_governor.c,test,BMS-GOV-001,passing
SW-FR-BMS-005,source,core/governor/bms_governor.c,test,BMS-GOV-001,passing
SW-FR-BMS-006,test,tests/conformance/governor/test_bms_governor.c,test,BMS-GOV-003,passing
SW-FR-BMS-006,test,tests/conformance/governor/test_bms_governor.c,test,BMS-GOV-004,passing
SW-FR-HIL-001,test,tests/hil/hil_fault_injection.py,test,HIL-BUSOFF-001,passing
SW-FR-HIL-001,test,tests/hil/hil_fault_injection.py,test,HIL-CRC-001,passing
SW-FR-HIL-001,test,tests/hil/hil_fault_injection.py,test,HIL-BROWNOUT-001,passing
SW-FR-HIL-002,test,tests/hil/hil_fault_injection.py,test,HIL-BUSOFF-001,passing
SW-FR-HIL-003,test,tests/hil/hil_fault_injection.py,test,HIL-CRC-001,passing
SW-FR-HIL-004,test,tests/hil/hil_fault_injection.py,test,HIL-BROWNOUT-001,passing
SW-FR-HIL-005,test,tests/hil/test_phase12_artifacts.py,test,HIL-REPORT-001,passing
SW-FR-HIL-006,test,tests/hil/test_phase12_artifacts.py,test,HIL-REPORT-001,passing
SW-FR-SAFETY-001,document,docs/safety/SafetyManual.md,test,SAFETY-MANUAL-001,passing
SW-FR-SAFETY-002,document,docs/safety/SafetyManual.md,test,SAFETY-FMEA-001,passing
SW-FR-SAFETY-003,document,docs/safety/SafetyManual.md,test,SAFETY-TSR-001,passing
SW-FR-SAFETY-004,document,docs/trace/final_v1_report.md,test,TRACE-V1-001,passing
SW-FR-SAFETY-005,release,VERSION+CHANGELOG+docs/trace/final_v1_report.md,test,SAFETY-RELEASE-001,passing
SW-FR-EVENT-007,source,core/event/src/queue.c,test,EVENT-RESERVED-SLOTS-001,passing
SW-FR-EVENT-007,test,tests/unit/core/event/test_reserved_fault_slots.c,test,EVENT-RESERVED-SLOTS-001,passing
SW-FR-EVENT-008,source,core/event/src/queue.c,test,EVENT-RESERVED-SLOTS-002,passing
SW-FR-EVENT-008,test,tests/conformance/baremetal/test_hard_fault_escalation.c,test,HARD-FAULT-ESCALATION-001,passing
SW-FR-FSM-020,test,tests/unit/core/event/test_reserved_fault_slots.c,test,EVENT-RESERVED-SLOTS-003,passing
SW-FR-BM-005,source,platform/cortex_m/watchdog.c,test,HARD-FAULT-ESCALATION-001,passing
SW-FR-BM-005,test,tests/conformance/baremetal/test_hard_fault_escalation.c,test,HARD-FAULT-ESCALATION-001,passing
SW-FR-BM-006,source,platform/cortex_m/watchdog.c,test,HARD-FAULT-ESCALATION-001,passing
SW-FR-BM-006,test,tests/conformance/baremetal/test_hard_fault_escalation.c,test,HARD-FAULT-ESCALATION-001,passing
QA-EV-01,test,tests/unit/core/event/test_reserved_fault_slots.c,test,EVENT-RESERVED-SLOTS-001,passing
QA-EV-01,test,tests/conformance/baremetal/test_hard_fault_escalation.c,test,HARD-FAULT-ESCALATION-001,passing
SW-FR-EVENT-007,test,tests/unit/core/event/test_reserved_fault_slots.c,test,EVENT-RESERVED-SLOTS-004,passing
SW-FR-EVENT-007,test,tests/unit/core/event/test_reserved_fault_slots.c,test,EVENT-RESERVED-SLOTS-005,passing
SW-FR-LOG-004,source,core/event/src/fault.c,test,FAULT-RETENTION-001,passing
SW-FR-LOG-004,source,platform/cortex_m/watchdog.c,test,RESET-REASON-001,passing
SW-FR-LOG-004,test,tests/conformance/baremetal/test_persist_before_latch.c,test,FAULT-RETENTION-001,passing
SW-FR-LOG-004,test,tests/conformance/baremetal/test_reset_reason_readability.c,test,RESET-REASON-001,passing
SYS-FR-016,source,core/event/src/fault.c,test,FAULT-RETENTION-001,passing
SYS-FR-016,source,platform/cortex_m/watchdog.c,test,RESET-REASON-001,passing
SYS-FR-016,test,tests/conformance/baremetal/test_terminal_state_refusal.c,test,TERMINAL-STATE-001,passing
SYS-FR-016,test,tests/conformance/baremetal/test_fallback_spin.c,test,FALLBACK-SPIN-001,passing
SYS-SF-004,source,core/event/src/fault.c,test,FALLBACK-SPIN-001,passing
SYS-SF-004,test,tests/conformance/baremetal/test_persist_before_latch.c,test,FAULT-RETENTION-001,passing
SYS-SF-004,test,tests/conformance/baremetal/test_terminal_state_refusal.c,test,TERMINAL-STATE-001,passing
SYS-SF-004,test,tests/conformance/baremetal/test_fallback_spin.c,test,FALLBACK-SPIN-001,passing
